apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
Douglas Silva,Zagueiro,joinville,0,Nulo,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Salles,Zagueiro,vasco,0,Nulo,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luciano,Atacante,corinthians,0,Contundido,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,Meia,sport,0,Nulo,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Paulo,Lateral,ponte preta,0,Nulo,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nixon,Atacante,flamengo,0,Contundido,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Meia,são paulo,0,Contundido,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lula,Zagueiro,atlético-pr,0,Nulo,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geandro,Meia,joinville,0,Contundido,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walter,Goleiro,corinthians,0,Nulo,6.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Caio,Meia,são paulo,3,Nulo,5.90,0.00,0.00,1.50,3,8,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0
Alan Patrick,Meia,flamengo,2,Nulo,5.90,0.00,0.00,1.55,2,2,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0
Giovanni Augusto,Meia,atlético-mg,6,Provável,5.89,0.00,0.00,1.58,7,8,0,0,1,2,0,0,0,5,5,0,0,0,0,0,0,0
Diogo Barbosa,Lateral,goiás,3,Provável,5.89,1.59,6.60,2.97,5,9,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
Vítor,Lateral,sport,1,Nulo,5.88,0.00,0.00,0.70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Renê,Lateral,sport,7,Provável,5.88,0.87,4.70,3.91,4,31,2,0,2,0,0,0,0,11,6,1,1,0,3,0,0,0
Jefferson,Meia,figueirense,3,Nulo,5.88,0.00,0.00,1.43,3,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0
Víctor Cáceres,Meia,flamengo,2,Nulo,5.81,0.00,0.00,2.30,1,3,0,0,2,0,0,0,0,5,7,0,1,0,0,0,0,0
Adriano,Meia,avaí,1,Nulo,5.71,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muriel,Goleiro,internacional,2,Nulo,5.70,0.00,0.00,4.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
Renan,Meia,avaí,7,Suspenso,5.68,-0.41,-0.30,1.59,12,10,0,0,0,1,0,0,0,12,14,0,3,0,0,0,0,0
Ewerton Páscoa ,Zagueiro,sport,1,Nulo,5.68,-1.32,-0.30,-0.30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roni,Meia,ponte preta,4,Provável,5.65,-0.21,0.20,0.03,2,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0
William Henrique,Atacante,joinville,2,Nulo,5.62,0.00,0.00,0.75,1,3,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
Roberto,Atacante,avaí,4,Contundido,5.60,0.00,0.00,2.15,6,6,0,0,1,0,1,0,0,2,6,0,1,0,0,0,0,0
Diguinho,Meia,vasco,3,Provável,5.60,-0.42,-0.50,2.17,4,9,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0
Almir,Meia,flamengo,2,Contundido,5.60,0.00,0.00,1.20,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Luiz Antonio ,Meia,flamengo,4,Provável,5.55,1.63,6.50,1.40,2,12,1,0,1,2,0,0,0,4,4,0,2,0,0,0,0,0
Guilherme Arana,Lateral,atlético-pr,3,Provável,5.53,-0.11,3.30,6.03,2,2,0,0,0,1,0,0,0,5,3,0,0,0,2,0,0,0
Renato,Lateral,fluminense,5,Provável,5.49,-0.81,-0.30,3.74,6,14,0,0,1,1,0,0,0,6,6,0,2,0,3,0,0,0
Rafael,Goleiro,cruzeiro,1,Nulo,5.44,0.00,0.00,3.70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Gilson Kleina,Técnico,avaí,7,Provável,5.43,-0.57,0.95,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Santos,Lateral,atlético-mg,5,Provável,5.36,0.00,0.00,1.50,2,9,0,0,1,3,0,0,0,3,8,0,0,0,1,0,0,0
Leandro Pereira,Atacante,palmeiras,2,Nulo,5.32,0.00,0.00,-1.50,3,3,0,0,1,2,0,1,0,0,3,0,2,0,0,0,0,0
Ney Franco,Técnico,coritiba,1,Provável,5.23,-0.59,0.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uelliton,Meia,avaí,1,Nulo,5.22,0.00,0.00,0.60,3,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Jhon Cley,Meia,vasco,3,Provável,5.21,0.00,0.90,0.77,4,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Leandrinho,Meia,santos,1,Nulo,5.19,0.00,0.00,5.20,1,2,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0
Serginho,Meia,vasco,4,Contundido,5.19,0.00,0.00,0.60,3,11,0,0,0,1,0,0,0,5,2,0,2,0,0,0,0,0
Pedro Geromel,Zagueiro,grêmio,6,Provável,5.17,-0.77,-0.60,0.70,8,10,0,0,0,1,0,2,0,5,6,0,1,0,0,0,0,0
Leandro Silva,Lateral,figueirense,5,Nulo,5.12,-1.75,-2.90,2.04,4,18,0,0,0,1,0,0,0,12,13,0,3,0,1,0,0,0
Adilson Batista,Técnico,joinville,2,Provável,5.11,0.22,1.76,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bressan,Zagueiro,flamengo,4,Nulo,5.11,0.00,0.00,1.02,2,5,0,0,0,1,0,0,0,2,5,0,1,0,1,0,0,0
Edigar Junio,Atacante,atlético-pr,2,Nulo,5.11,0.00,0.00,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martín Luque,Meia,internacional,1,Nulo,5.09,0.00,0.00,0.70,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
